id	username	screenname	lastname	firstname	party	country	membership
2758602415	cdu_schweiger	Torsten Schweiger	Schweiger	Torsten	CDU	DE	MdB
43537931	PatrickSensburg	Patrick Sensburg	Sensburg	Patrick	CDU	DE	MdB
110385973	TinoSorge	Tino Sorge	Sorge	Tino	CDU	DE	MdB
299650387	jensspahn	Jens Spahn	Spahn	Jens	CDU	DE	MdB
26869088	franksteffel	Frank Steffel	Steffel	Frank	CDU	DE	MdB
1127961248493129728	StegemannAlbert	Albert Stegemann	Stegemann	Albert	CDU	DE	MdB
3236928208	AndreasSteier	Andreas Steier	Steier	Andreas	CDU	DE	MdB
2885729417	Peter_Stein_CDU	Peter Stein	Stein	Peter	CDU	DE	MdB
277006619	SteinekeCDU	Sebastian Steineke	Steineke	Sebastian	CDU	DE	MdB
83474160	JoSteiniger	Johannes Steiniger	Steiniger	Johannes	CDU	DE	MdB
20534846	gero_storjohann	Gero Storjohann	Storjohann	Gero	CDU	DE	MdB
22260144	petertauber	Peter Tauber	Tauber	Peter	CDU	DE	MdB
829056811974144001	alexander_throm	Alexander Throm	Throm	Alexander	CDU	DE	MdB
4818645382	dr_tiemann	Dietlind Tiemann	Tiemann	Dietlind	CDU	DE	MdB
1082925763316367360	AntjeTillmann	Antje Tillmann	Tillmann	Antje	CDU	DE	MdB
862747349277450240	mvabercron	Dr. Michael von Abercron MdB	von Abercron	Michael	CDU	DE	MdB
389682667	JoWadephul	Johann Wadephul	Wadephul	Johann	CDU	DE	MdB
16361044	wanderwitz	Marco Wanderwitz	Wanderwitz	Marco	CDU	DE	MdB
65413134	ninawarken	Nina Warken	Warken	Nina	CDU	DE	MdB
39999872	kaiwegner	Kai Wegner	Wegner	Kai	CDU	DE	MdB
884382990	MarcusWeinberg	Marcus Weinberg	Weinberg	Marcus	CDU	DE	MdB
54202670	PeterWeissMdB	Peter Weiß	Weiß	Peter	CDU	DE	MdB
54535670	Wellenreuther	Ingo Wellenreuther	Wellenreuther	Ingo	CDU	DE	MdB
2430137675	MdbWendt	Marian Wendt	Wendt	Marian	CDU	DE	MdB
2479436480	Kai_Whittaker	Kai Whittaker	Whittaker	Kai	CDU	DE	MdB
3351905747	AWidmannMauz	A.Widmann-Mauz	Widmann-Mauz	Annette	CDU	DE	MdB
288696645	PaulZiemiak	Paul Ziemiak	Ziemiak	Paul	CDU	DE	MdB
52994606	matthiaszimmer	matthias zimmer	Zimmer	Matthias	CDU	DE	MdB
140821364	DoroBaer	Dorothee Bär	Bär	Dorothee	CSU	DE	MdB
904304932257492992	Brehm_inNBGNord	Sebastian Brehm MdB	Brehm	Sebastian	CSU	DE	MdB
1662533040	Hansjoerg_Durz	Hansjörg Durz	Durz	Hansjörg	CSU	DE	MdB
2192588903	Terndl	Thomas Erndl	Erndl	Thomas	CSU	DE	MdB
708224250885349376	HPFriedrichCSU	Hans-Peter Friedrich	Friedrich	Hans-Peter	CSU	DE	MdB
4577700622	MichaelFrieser	Michael Frieser	Frieser	Michael	CSU	DE	MdB
403735368	hahnflo	Florian Hahn	Hahn	Florian	CSU	DE	MdB
730314294	Kiessling_MdB	Michael Kiessling	Kießling	Michael	CSU	DE	MdB
4249342037	MichaelKuffer	Michael Kuffer	Kuffer	Michael	CSU	DE	MdB
4926993244	DrLaunert	Dr. Silke Launert	Launert	Silke	CSU	DE	MdB
3635730797	DerLenzMdB	Andreas Lenz	Lenz	Andreas	CSU	DE	MdB
1446031532	AndreaLindholz	Andrea Lindholz	Lindholz	Linnemann	CSU	DE	MdB
1019846605044936705	DaniLudwigMdB	Daniela Ludwig	Ludwig	Daniela	CSU	DE	MdB
824221646290616321	hans_michelbach	Hans Michelbach	Mechelbach	Hans	CSU	DE	MdB
17960911	smuellermdb	Stefan Müller	Müller	Stefan	CSU	DE	MdB
1294532364	Florian_Ossner	Florian Oßner	Oßner	Florian	CSU	DE	MdB
819914159915667456	StephPilsinger	Stephan Pilsinger, MdB	Pilsinger	Stephan	CSU	DE	MdB
2831760211	AlexanderRadwan	Alexander Radwan	Radwan	Alexander	CSU	DE	MdB
50315139	AndiScheuer	Andreas Scheuer	Scheuer	Andreas	CSU	DE	MdB
951489275312443392	SilberhornMdB	Thomas Silberhorn MdB	Silberhorn	Thomas	CSU	DE	MdB
825019912083038208	katrin_staffler	Katrin Staffler	Staffler	Katrin	CSU	DE	MdB
4866955749	StefingerMdB	Wolfgang Stefinger	Stefinger	Wolfgang	CSU	DE	MdB
28446356	VolkerUllrich	Volker Ullrich	Ullrich	Volker	CSU	DE	MdB
133770069	anjaweisgerber	Anja Weisgerber	Weisgerber	Anja	CSU	DE	MdB
976107205849206784	aggelidis_fdp	Grigorios Aggelidis	Aggelidis	Grigorios	FDP	DE	MdB
1001837201276235777	RenataAlt_MdB	Renata Alt	Alt	Renate	FDP	DE	MdB
25980076	cad59	Christine Aschenberg-Dugnus MdB	Aschenberg-Dugnus	Christine	FDP	DE	MdB
179216369	jensbeeck	Jens Beeck	Beeck	Jens	FDP	DE	MdB
857906951707127808	JBrandenburgFDP	Jens Brandenburg	Brandenburg	Jens	FDP	DE	MdB
802968497831739392	BraFDP	Mario Brandenburg	Brandenburg	Mario	FDP	DE	MdB
935554963639558145	busen_mdb	Karlheinz Busen	Busen	Karlheinz	FDP	DE	MdB
960463104537657344	DjirSarai	Bijan Djir-Sarai	Djir-Sarai	Bijan	FDP	DE	MdB
17535941	christianduerr	Christian Dürr	Dürr	Christian	FDP	DE	MdB
916950563815870464	HartmutEbbing	Hartmut Ebbing, MdB	Ebbing	Hartmut	FDP	DE	MdB
22364234	MarcusFaber	Marcus Faber	Faber	Marcus	FDP	DE	MdB
422569574	DFoest	Daniel Föst	Föst	Daniel	FDP	DE	MdB
18044683	Otto_Fricke	OttO Fricke	Fricke	Otto	FDP	DE	MdB
89209507	hacker_fdp	Thomas Hacker	Hacker	Thomas	FDP	DE	MdB
1858621434	PeterHeidtFDP	Peter Heidt	Heidt	Peter	FDP	DE	MdB
21267421	KatrinHelling	Katrin Helling-Plahr	Helling-Plahr	Katrin	FDP	DE	MdB
17561226	torstenherbst	Torsten Herbst MdB	Herbst	Torsten	FDP	DE	MdB
107806591	fdp_hessel	Katja Hessel	Hessel	Katja	FDP	DE	MdB
966707365893558273	GeroHocker	Gero Hocker	Hocker	Gero	FDP	DE	MdB
17483463	ManuelHoeferlin	Manuel Höferlin	Höferlin	Manuel	FDP	DE	MdB
1085494381405237251	HoffmannForest	Dr. forest Christoph Hoffmann	Hoffmann	Christoph	FDP	DE	MdB
825069798140833794	HoubenReinhard	Reinhard Houben	Houben	Reinhard	FDP	DE	MdB
997415730051207169	ullaihnen	Ulla Ihnen	Ihnen	Ulla	FDP	DE	MdB
913327957602693121	olafinderbeek	Olaf in der Beek MdB	in der Beek	Olaf	FDP	DE	MdB
1530171613	GydeJ	Gyde Jensen	Jensen	Gyde	FDP	DE	MdB
740178046649565184	c_jung77	Christian Jung	Jung	Christian	FDP	DE	MdB
22755312	KemmerichThL	Thomas L. Kemmerich	Kemmerich	Thomas L.	FDP	DE	MdB
28327765	DanielaKluckert	Daniela Kluckert	Klcukert	Daniela	FDP	DE	MdB
995228494023086080	MdBKlein	Karsten Klein, MdB	Klein	Karstein	FDP	DE	MdB
19909974	PascalKober	Pascal Kober	Kober	Pascal	FDP	DE	MdB
898597063444877313	koehler_fdp	Lukas Köhler	Köhler	Lukas	FDP	DE	MdB
874304935906729986	carina_konrad	Carina Konrad	Konrad	Carina	FDP	DE	MdB
475275997	KonstantinKuhle	Konstantin Kuhle	Kuhle	Konstantin	FDP	DE	MdB
1743275384	Akulitz	Alex Kulitz	Kulitz	Alexander	FDP	DE	MdB
149299258	Lambsdorff	Alexander Lambsdorff	Lambsdorff	Alexander	FDP	DE	MdB
988765113606918144	ulrichlechte	Ulrich Lechte, MdB	Lechte	Ulrich	FDP	DE	MdB
122104353	c_lindner	Christian Lindner	Lindner	Christian	FDP	DE	MdB
3034092143	michael_g_link	Michael Georg Link	Link	Michael Georg	FDP	DE	MdB
21144568	OlliLuksic	Oliver Luksic	Luksic	Oliver	FDP	DE	MdB
954049866283483136	TillMansmann	Till Mansmann	Mansmann	Till	FDP	DE	MdB
861992050358616064	ChristophFDP	Christoph Meyer	Meyer	Christoph	FDP	DE	MdB
936235058792484864	alexmuellerfdp	Alexander Müller	Müller	Alexander	FDP	DE	MdB
2373251115	muellerboehm	Roman Müller-Böhm	Müller-Böhm	Roman	FDP	DE	MdB
984048002967982080	theliberalfrank	Frank Müller-Rosentritt, MdB	Müller-Rosentritt	Frank	FDP	DE	MdB
974589289689427968	_MartinNeumann	Prof. Dr.-Ing. Martin Neumann	Neumann	Martin	FDP	DE	MdB
925657781759332353	reinholdmdb	Hagen Reinhold, MdB	Reinhold	Hagen	FDP	DE	MdB
930422173478608903	reuther_bernd	Bernd Reuther	Reuther	Bernd	FDP	DE	MdB
2710786593	ruppert_stefan	Stefan Ruppert	Ruppert	Stefan	FDP	DE	MdB
1296544153	th_sattelberger	Thomas Sattelberger	Sattelberger	Thomas	FDP	DE	MdB
18189342	f_schaeffler	Frank Schäffler	Schäffler	Frank	FDP	DE	MdB
828943222432997376	WSchinnenburg	Wieland Schinnenburg	Schinnenburg	Wieland	FDP	DE	MdB
18000943	jimmyschulz	jimmyschulz	Schulz	Jimmy	FDP	DE	MdB
1006099793888841729	mseesternpauly	Matthias Seestern-Pauly	Seestern-Pauly	Matthias	FDP	DE	MdB
28087038	franksitta	Frank Sitta	Sitta	Frank	FDP	DE	MdB
948958759560376320	JudithSkudelny	Judith Skudelny	Skudelny	Judith	FDP	DE	MdB
16325209	solms	Hermann Otto Solms	Solms	Hermann Otto	FDP	DE	MdB
38228691	starkwatzinger	Bettina Stark-Watzinger	Stark-Watzinger	Bettina	FDP	DE	MdB
3047392319	MAStrackZi	Marie-Agnes Strack-Zimmermann	Strack-Zimmermann	Marie-Agnes	FDP	DE	MdB
29540300	bstrasser	Benjamin Strasser	Strasser	Benjamin	FDP	DE	MdB
18880634	KatjaSuding	KatjaSuding	Suding	Katja	FDP	DE	MdB
170964436	LindaTeuteberg	Linda Teuteberg	Teuteberg	Linda	FDP	DE	MdB
1108382916	EUTheurer	Michael Theurer	Theurer	Michael	FDP	DE	MdB
75005687	StephanThomae	Stephan Thomae	Thomae	Stephan	FDP	DE	MdB
17462171	florian_toncar	Florian Toncar	Toncar	Florian	FDP	DE	MdB
